line	name	status	tables	ops	priority	pg_counterpart
2711	update_food_log	SQLITE-ONLY	food_logs	UPSERT	HIGH	False
2743	get_food_log	SQLITE-ONLY	food_logs	READ	HIGH	False
2770	delete_food_log	SQLITE-ONLY	food_logs	DELETE,READ	HIGH	False
2779	save_metabolic_daily_summary	SQLITE-ONLY	metabolic_daily_summaries	UPSERT,WRITE	HIGH	False
2829	get_metabolic_daily_summaries	SQLITE-ONLY	metabolic_daily_summaries	READ,UPSERT	HIGH	False
2877	get_metabolic_daily_summary	SQLITE-ONLY	metabolic_daily_summaries	READ,UPSERT	HIGH	False
2920	upsert_metabolic_reference_value	SQLITE-ONLY	metabolic_reference_values	UPSERT,WRITE	HIGH	False
2962	get_metabolic_reference_value	SQLITE-ONLY	metabolic_reference_values	READ	HIGH	False
3000	get_all_metabolic_reference_values	SQLITE-ONLY	metabolic_reference_values	READ	HIGH	False
3011	save_metabolic_adaptive_weights	SQLITE-ONLY	metabolic_adaptive_weights	UPSERT,WRITE	HIGH	False
3050	get_metabolic_adaptive_weights	SQLITE-ONLY	metabolic_adaptive_weights	READ	HIGH	False
3068	create_indices	SQLITE-ONLY	metrics,rides	WRITE	LOW	False
3128	backup_database	SQLITE-ONLY	-	UNKNOWN	MEDIUM	False
